BTC	Bitcoin	
STR	Stellar	
LTC	Litecoin
PPC	Peercoin	
NXT	Nxt	
DOGE	DogeCoin	
DRK	Darkcoin	
BC	Blackcoin
FTC	Feathercoin	
ISR	Isracoin	
QRK	Quarkcoin	
MSC	Mastercoin	
ZET	ZetaCoin	
NVC	Novacoin	
IFC	InfiniteCoin	
XCR	Crypti	
VTC	VertCoin
MEC	MegaCoin
WDC	WorldCoin
NHZ	NeXT Horizon
ANC	AnonCoin	
AUR	Auroracoin
IXC	IXCoin
UNO	Unobtanium
DVC	Devcoin
MINT	Mintcoin
TRC	Terracoin
DGC	Digitalcoin
CGB	CryptogenicBullion
HBN	HoboNickels
FRC	Freicoin
NET	Netcoin
NAS	NasCoin
KARM	Karma
BQC	BBQCoin
EXC	Extremecoin
SXC	Sexcoin
EAC	EarthCoin
PRT	Particle
MOON	MoonCoin
YAC	Yacoin
DMD	Diamond
TIPS	Fedoracoin
BTB	BitBar
ASC	AscentCoin
POP	Popular Coin
LOT	LottoCoin
NOBL	NobleCoin
EXE	Execoin
CCN	Cannacoin
MZC	Mazacoin	
LKY	LuckyCoin
COIN	Coin
LEAF	Leafcoin
FRK	FrankoCoin
XJO	JouleCoin
DIME	Dimecoin
FLAP	Flappycoin	
PIG	Piggycoin	
MEOW	Kittehcoin	
RPC	RonPaulCoin	
SPA	SpainCoin
ELC	ElaCoin
KDC	KlondikeCoin	
BTE	Bytecoin
ARG	Argentum
QQC	QQcoin
TEA	Teacoin
CNC	CHNCoin
JKC	Junkcoin
NYAN	Nyancoin
GME	Gamecoins
RYC	RoyalCoin
KGC	KrugerCoin
ASR	AstroCoin
SMC	Smartcoin
ETOK	eToken
GRUMP	GrumpyCoin
PWC	PWC
ALF	AlphaCoin
NMC	Namecoin
AMC	AmericanCoin
BTG	Bitgem
CMC	Cosmoscoin
CRC	CraftCoin	
CSC	CasinoCoin
EMD	Emerald
FST	FastCoin
GDC	GrandCoin	
GIL	Gilcoin
GLC	Globalcoin
GLX	Galaxycoin
HYC	Hypercoin	
LBW	Lebowskis
MNC	Mincoin
NAN	NanoToken
NBL	Nibble
NRB	NoirBits	
PXC	PhenixCoin
SBC	StableCoin
SPT	Spots
XPM	PrimeCoin
YBC	YBCoin
DBL	Doubloons
EZC	EZCoin
FLO	FlorinCoin
GLD	GoldCoin
MEM	MemeCoin
MST	MasterCoin
XNC	XenCoin
ADT	Android Token
MCX	Maxcoin
CLR	CopperLark
COL	ColossusCoin
TAG	TagCoin
ALP	ALP
BET	BetaCoin
BUK	CryptoBuck
CAP	BottleCaps
CDC	Cloudcoin
CENT	Pennies
CIN	CIN
CPR	CopperBars
DEM	Deutsche eMark
DSC	DSC
DTC	Datacoin
ELP	Elephantcoin
GRW	GrowthCoin
I0C	i0Coin
ISK	ISK
LK7	Lucky7Coin
NEC	Neocoin
NIB	NIB
NWC	Networkcoin
ORB	Orbitcoin
PHS	PhilosopherStone
PPL	PeopleCoin
PTS	ProtoShares
PYC	PayCoin
RCH	Richcoin
REC	RealCoin
RED	RedCoin
SAV	SAV
SC	SilkCoin
SLL	SLL
SRC	SecureCoin
TEK	TekCoin
TIX	Tickets
UFC	UFC
ZCC	ZcCoin
POINTS	CryptsyPoints
NYM	NYM
OSC	OpenSourceCoin
BIL	BillionCoin
BEC	BeaoCoin
CAT	CatCoin
FFC	FireFlyCoin	
FZ	Frozen
LOVE	Lovecoin
NKA	Incakoin
TGC	Tigercoin
BCX	BattleCoin	
AERO	AeroCoin
OGC	OnlineGamingCoin
XIV	Xivra
CAGE	Cagecoin
VEL	Velocitycoin
GRA	Graincoin	
42	FourtyTwoCoin
BFC	BFC
BOC	Bountycoin
FRE	FRE
BTR	BTR
MMC	MemoryCoin
TES	TeslaCoin
XRP	Ripple
MSCSLC	MSCSLC
REDD	REDD
BLC	Blakecoin
PXL	PixelCoin	
CASH	Cash
MXB	mcxBUX
DGB	DigiByte
CTM	Continuumcoin
MAX	Maxcoin
CON	Coino
ICN	ICN
RDD	Reddcoin
RPD	RPD
USDE	Unitary Status Dollar eCoin	
UTC	UltraCoin	
MYR	Myriad
SKC	SkeincCoin
ATP	Atomic Points
PAND	PAND
PENG	PenguinCoin
CACH	CACHeCoin
CNOTE	C-Note
FOX	FOX
FRQ	FairQuark
GLB	Globe
HUC	Huntercoin
